Episode,Loss,Info
0,2.0,471
1,1.8,160
2,1.62,63
3,1.458,49
4,1.3121999999999998,315
5,1.18098,225
6,1.0628819999999999,289
7,0.9565937999999998,121
8,0.8609344199999998,266
9,0.7748409779999998,427
10,0.6973568801999999,158
11,0.6276211921799999,89
12,0.564859072962,353
13,0.5083731656657999,319
14,0.45753584909921985,579
15,0.41178226418929786,314
16,0.3706040377703681,69
17,0.3335436339933313,360
18,0.30018927059399814,778
19,0.27017034353459835,173
20,0.24315330918113842,792
21,0.21883797826302454,131
22,0.19695418043672208,149
23,0.17725876239304994,184
24,0.15953288615374506,86
25,0.14357959753837046,49
26,0.12922163778453344,306
27,0.1162994740060801,341
28,0.10466952660547202,610
29,0.09420257394492482,215
30,0.08478231655043222,304
31,0.07630408489538909,75
32,0.0686736764058502,51
33,0.06180630876526516,484
34,0.055625677888738734,233
35,0.05006311009986497,1265
36,0.045056799089878474,108
37,0.040551119180890716,139
38,0.036496007262801555,94
39,0.03284640653652149,75
40,0.029561765882869295,157
41,0.026605589294582455,452
42,0.023945030365124298,404
43,0.021550527328611846,646
44,0.01939547459575075,387
45,0.01745592713617561,165
46,0.01571033442255798,161
47,0.014139300980302139,450
48,0.01272537088227188,349
49,0.011452833794044714,103
50,0.010307550414640154,116
51,0.00927679537317605,881
52,0.0083491158358584,103
53,0.0075142042522724495,255
54,0.0067627838270452045,63
55,0.00608650544434064,141
56,0.005477854899906598,182
57,0.004930069409915916,493
58,0.00443706246892428,295
59,0.003993356222031785,73
60,0.0035940205998286068,189
61,0.003234618539845746,371
62,0.0029111566858612825,280
63,0.0026200410172751987,434
64,0.00235803691554759,147
65,0.002122233223992742,649
66,0.0019100099015934013,115
67,0.0017190089114340612,112
68,0.0015471080202906773,407
69,0.0013923972182616762,406
70,0.0012531574964356196,342
71,0.0011278417467921464,379
72,0.001015057572112843,191
73,0.0009135518149014921,117
74,0.0008221966334114317,627
75,0.0007399769700702219,82
76,0.0006659792730632219,201
77,0.0005993813457569885,473
78,0.0005394432111813785,121
79,0.00048549889006332947,53
80,0.0004369490010569521,113
81,0.0003932541009512569,353
82,0.0003539286908560424,125
83,0.0003185358217705492,171
84,0.00028668223959349426,623
85,0.0002580140156340782,331
86,0.00023221261407058158,279
87,0.00020899135266350122,87
88,0.0001880922173971289,337
89,0.0001692829956574382,239
90,0.000152354696091761,450
91,0.00013711922648251829,555
92,0.00012340730383431087,133
93,0.00011106657345094639,249
94,9.995991610578514e-05,361
95,8.996392449511781e-05,107
96,8.096753204567264e-05,287
97,7.287077884110538e-05,565
98,6.558370095710586e-05,414
99,5.9025330861439684e-05,200
100,5.312279777536233e-05,314
101,4.781051799773728e-05,1289
102,4.3029466197941346e-05,47
103,3.8726519578258234e-05,249
104,3.485386762047682e-05,110
105,3.136848085838473e-05,413
106,2.8231632772435233e-05,526
107,2.5408469495280528e-05,287
108,2.286762254577468e-05,665
109,2.0580860291108394e-05,122
110,1.8522774261953145e-05,71
111,1.667049683584665e-05,163
112,1.5003447152217575e-05,277
113,1.3503102437084635e-05,179
114,1.215279219346499e-05,207
115,1.0937512974207309e-05,239
116,9.8437616768976e-06,304
117,8.85938550920784e-06,131
118,7.973446958242647e-06,347
119,7.176102262418382e-06,112
120,6.458492036287566e-06,239
121,5.812642832614401e-06,209
122,5.231378549463983e-06,80
123,4.708240694428767e-06,153
124,4.237416624919277e-06,149
125,3.8136749624939625e-06,1454
126,3.4323074662445663e-06,147
127,3.089076719531292e-06,397
128,2.780169047644776e-06,151
129,2.502152142813685e-06,2249
130,2.2519369284879076e-06,223
131,2.0267432356835258e-06,498
132,1.8240689121373777e-06,390
133,1.6416620209902533e-06,219
134,1.47749581880241e-06,1575
135,1.3297462368999646e-06,192
136,1.1967716131433548e-06,47
137,1.0770944518512238e-06,202
138,9.693850067105103e-07,381
139,8.724465061504816e-07,299
140,7.852018555354334e-07,385
141,7.066816700707079e-07,368
142,6.360135029748193e-07,401
143,5.724121527883597e-07,190
144,5.151709374651148e-07,185
145,4.636538437630122e-07,418
146,4.172884593423021e-07,365
147,3.7555961340807187e-07,183
148,3.38003652178287e-07,72
149,3.042032870048672e-07,151
150,2.737829583043805e-07,70
151,2.46404662451738e-07,99
152,2.2176419611774634e-07,807
153,1.9958777652817616e-07,266
154,1.796289987865407e-07,219
155,1.6166609895229556e-07,97
156,1.4549948912367938e-07,127
157,1.3094954010028914e-07,281
158,1.1785458609026023e-07,1115
159,1.060691274812342e-07,169
160,9.546221479972417e-08,215
161,8.591599343077405e-08,219
162,7.73243939988788e-08,366
163,6.959195464339984e-08,286
164,6.263275920126432e-08,75
165,5.636948330334235e-08,121
166,5.0732535061825956e-08,351
167,4.565928146682552e-08,179
168,4.109335338675635e-08,271
169,3.6984018070285174e-08,685
170,3.3285616263256657e-08,184
171,2.995705461472653e-08,123
172,2.6961349153253877e-08,629
173,2.426521428233741e-08,271
174,2.183869285410367e-08,925
175,1.9654823546488842e-08,610
176,1.7689341103022116e-08,317
177,1.5920406992719904e-08,126
178,1.4328366271243453e-08,240
179,1.2895529533096806e-08,241
180,1.1605976624196046e-08,430
181,1.0445379006185362e-08,355
182,9.400840994544524e-09,437
183,8.460756983907913e-09,581
184,7.614681329926043e-09,75
185,6.853213108115597e-09,169
186,6.167891752895116e-09,379
187,5.551102688627907e-09,419
188,4.995992508582958e-09,738
189,4.496393257724662e-09,97
190,4.046754042974499e-09,656
191,3.6420786386770487e-09,215
192,3.277870863627186e-09,801
193,2.9500837328555463e-09,271
194,2.6550752707521497e-09,184
195,2.3895676548590927e-09,191
196,2.1506108005553415e-09,1455
197,1.9355497204998073e-09,408
198,1.741994770654287e-09,287
199,1.567795226975477e-09,90
