Episode,Loss,Info
131,1.0133716177307406e-05,19
132,9.120344559576665e-06,23
133,8.20831010273082e-06,19
134,7.387479092457738e-06,21
135,6.6487311833896e-06,21
136,5.98385806505064e-06,19
137,5.38547225836794e-06,21
138,4.846925031998239e-06,19
139,4.362232528976051e-06,19
140,3.92600927590081e-06,21
141,3.5334083481330936e-06,22
142,3.180067512431606e-06,19
143,2.862060760833174e-06,23
144,2.575854685105128e-06,19
145,2.3182692174827935e-06,19
146,2.0864422953792428e-06,23
147,1.8777980663742255e-06,21
148,1.6900182604473457e-06,19
149,1.5210164345802468e-06,21
150,1.3689147912998578e-06,19
151,1.2320233118146007e-06,20
152,1.1088209799225979e-06,19
153,9.979388817527024e-07,19
154,8.981449930445251e-07,21
155,8.08330494095344e-07,21
156,7.274974453963523e-07,23
157,6.547477013896241e-07,25
158,5.892729308953903e-07,19
159,5.303456376282156e-07,21
160,4.773110742206654e-07,23
161,4.2957996626569184e-07,21
162,3.86621969994394e-07,21
163,3.479597729949546e-07,29
164,3.131637953401878e-07,19
165,2.8184741651671175e-07,21
166,2.5366267486504057e-07,21
167,2.282964075561722e-07,21
168,2.0546676715582635e-07,21
169,1.8492008990733666e-07,21
170,1.6642808020606026e-07,21
171,1.4978527218545423e-07,19
172,1.3480674532218018e-07,25
173,1.2132607096759784e-07,21
174,1.0919346316029532e-07,21
175,9.827411773244421e-08,19
176,8.844670595919979e-08,21
177,7.960203518564413e-08,19
178,7.164183202235108e-08,19
179,6.447764810957324e-08,23
180,5.802988312098023e-08,21
181,5.222689480888221e-08,21
182,4.700420497272262e-08,23
183,4.2303785363628776e-08,23
184,3.8073407537808635e-08,23
185,3.426606731693482e-08,19
186,3.0839460762877025e-08,19
187,2.7755515219496374e-08,19
188,2.4979962987004e-08,21
189,2.2481966510667917e-08,23
190,2.0233770214872493e-08,19
191,1.8210393193385244e-08,25
192,1.638935387404672e-08,21
193,1.4750417776099312e-08,21
194,1.3275375465582329e-08,21
195,1.1947838274295464e-08,21
196,1.0753055335044337e-08,21
197,9.677750156811271e-09,19
198,8.70997496349446e-09,19
199,7.838977467145014e-09,23
