Episode,Loss,Info
0,2.0,254
1,1.800661092737062,23
2,1.6198855154840872,21
3,1.4571673571660595,23
4,1.3096695367252198,21
5,1.1758438699828138,19
6,1.0549446287867164,19
7,0.948201977479082,21
8,0.8504547356589451,21
9,0.7624311708033922,21
10,0.6853496005824729,23
11,0.6116580595453549,19
12,0.5487188853162119,23
13,0.4926065889539124,21
14,0.44030893468094323,21
15,0.3903950319107412,19
16,0.3482706988093809,21
17,0.3114522982761687,21
18,0.28294897506440875,31
19,0.3032216549936808,20
20,0.26848021500268415,21
21,0.23771893059058713,21
22,0.21034230352267502,21
23,0.2353043625552793,26
24,0.20747773363006683,21
25,0.1812954290231681,19
26,0.1577508056474095,19
27,0.14410676982753912,25
28,0.1240720994652913,19
29,0.1073689746562898,21
30,0.09127347261353314,19
31,0.08005494706470606,21
32,0.06698232790750147,19
33,0.05894882311008187,23
34,0.052380840145242136,23
35,0.048195185346339375,23
36,0.03859599514984979,19
37,0.03276386491195038,23
38,0.06343033695453681,20
39,0.05582835426867461,21
40,0.048954288654319944,21
41,0.04362979723232341,21
42,0.03526527618077102,19
43,0.027792581095487323,19
44,0.021130838913529182,19
45,0.015207000926023229,19
46,0.012086619351860728,21
47,0.0073045348154050505,19
48,0.008130874150000578,23
49,0.0038551546940785997,19
50,0.010883541467056279,25
51,0.007874252087068045,21
52,0.003300018232684332,19
53,0.0009531703655170087,21
54,-0.002613603383682772,19
55,-0.005726863728542142,19
56,-0.008432412819597612,19
57,-0.004476859617905671,21
58,-0.0030265060930942944,21
59,0.0019301815536287847,27
60,0.0009222158712933748,23
61,0.003366239532428539,21
62,0.002278068409763634,23
63,-1.4432728770330527e-05,21
64,-0.0033306076033317034,19
65,-0.006223694529886359,19
66,-0.003214781748862361,21
67,-0.0038040954846421116,21
68,0.024998689259255302,22
69,0.01957604429015869,19
70,0.016049942016244767,21
71,0.016599721687680757,23
72,0.014630514106012127,21
73,0.01594615833023294,23
74,0.01907530550280545,21
75,0.014068045694040743,19
76,0.009642532570732776,19
77,0.009690009154165624,23
78,0.005917167193357331,19
79,0.03803645568031744,24
80,0.041452516391401906,23
81,0.060021360040908744,22
82,0.050050960476524464,19
83,0.04371326265445985,21
84,0.035770579539994296,19
85,0.03188462239414336,23
86,0.03003440745183017,23
87,0.02594275529043588,23
88,0.030450783898678724,23
89,0.028767635984059403,21
90,0.02222399150526666,19
91,0.016479290899877652,19
92,0.011448146866745335,19
93,0.00705487376212055,19
94,0.005943801312660257,21
95,0.007118236637091435,23
96,0.006413439460141168,23
97,0.014446847601438328,27
98,0.009870735613448867,19
99,0.005833058379429046,19
100,0.006003273997522651,21
101,0.002404094579972149,19
102,0.0009900267681466346,21
103,0.0005554538065573045,21
104,0.0009822819322207188,23
105,-0.00014534812120015062,21
106,-0.002485559271495408,19
107,0.00038409084628932,25
108,0.0006912470659508063,21
109,0.003411072722283137,21
110,0.008013042367532863,23
111,0.010446110263505615,21
112,0.006060269282971653,19
113,0.0036467638779054123,21
114,0.0057980748676162985,21
115,0.0038953766182545646,21
116,0.0025962707378355265,21
117,0.0017996165846068113,21
118,0.003653868556875217,21
119,0.00882203957749228,25
120,0.009432398074412873,23
121,0.007532737089399388,21
122,0.0034902363793929414,19
123,-5.8548937234892406e-05,19
124,-0.003161559065217201,19
125,0.0005560604692049775,23
126,-0.0026480469177423416,19
127,-0.003358045870808901,23
128,-0.001608187102517089,21
129,-0.003264273720349209,21
130,-0.0009640836064175318,21
131,-0.0038996367372332585,19
132,-0.006448955100101461,19
133,-0.008649062573975907,19
134,-0.007449068816639759,21
135,-0.009419149229946022,19
136,-0.011104829644195124,19
137,-0.012534161264974752,19
138,-0.013731913171163512,19
139,-0.014720889109363977,19
140,-0.015522062604662157,19
141,-0.016154704121807306,19
142,-0.01663650062983102,19
143,-0.013255894231266385,21
144,-0.010336287410693146,25
145,-0.01110164324439289,19
146,-0.007843287483802808,23
147,-0.008721381242779547,19
148,-0.007217433196053946,21
149,-0.008070543609868697,19
150,-0.008819406167101196,19
151,-0.009470504261151813,19
152,-0.010029625783687823,19
153,-0.005827530608971898,25
154,-0.0008166360150698715,23
155,0.002550194304920428,21
156,0.0005356086734320531,19
157,-0.0012577845156069856,19
158,-0.0028463343594520296,19
159,-0.0028569348263678407,21
160,-0.0013012671306116275,21
161,-0.000939580281278829,21
162,-0.0007162157509781331,21
163,-0.0020533530361728225,19
164,-0.00325922596748196,19
165,0.0011237331488185287,23
166,-0.0005017884555171825,19
167,0.008179857112507571,23
168,0.006816042672963096,23
169,0.007599924602294861,23
170,0.007352672171430541,21
171,0.010760397032979041,23
172,0.0074044022050521185,19
173,0.0296590881605161,24
174,0.030296810531685425,23
175,0.027039089605754185,23
176,0.02206558896977473,19
177,0.027699525086566146,25
178,0.02203794459161057,19
179,0.01851318498431187,21
180,0.01600490119758735,21
181,0.011851446006998945,19
182,0.009907318287259548,21
183,0.008034960138725067,21
184,0.007364947033313474,21
185,0.007208010831320166,21
186,0.004275833220173997,19
187,0.005877390850612674,25
188,0.009480531713696783,23
189,0.01081962335011033,21
190,0.012366939694927526,23
191,0.008332590828521225,19
192,0.007391471101295899,23
193,0.004118893929436762,19
194,0.028814123269290226,26
195,0.024240952015179174,21
196,0.01868304929811826,19
197,0.013795226318018328,19
198,0.013022763840574214,21
199,0.014401731313214317,25
