Episode,Loss,Info
0,2.0,227
1,1.8,45
2,1.62,21
3,1.458,47
4,1.3121999999999998,65
5,1.18098,45
6,1.0628819999999999,21
7,0.9565937999999998,23
8,0.8609344199999998,31
9,0.7748409779999998,23
10,0.6973568801999999,21
11,0.6276211921799999,21
12,0.564859072962,19
13,0.5083731656657999,31
14,0.45753584909921985,20
15,0.41178226418929786,30
16,0.3706040377703681,23
17,0.3335436339933313,21
18,0.30018927059399814,21
19,0.27017034353459835,19
20,0.24315330918113842,22
21,0.21883797826302454,19
22,0.19695418043672208,21
23,0.17725876239304994,21
24,0.15953288615374506,19
25,0.14357959753837046,19
26,0.12922163778453344,21
27,0.1162994740060801,23
28,0.10466952660547202,21
29,0.09420257394492482,24
30,0.08478231655043222,21
31,0.07630408489538909,21
32,0.0686736764058502,21
33,0.06180630876526516,21
34,0.055625677888738734,19
35,0.05006311009986497,19
36,0.045056799089878474,19
37,0.040551119180890716,19
38,0.036496007262801555,19
39,0.03284640653652149,21
40,0.029561765882869295,23
41,0.026605589294582455,21
42,0.023945030365124298,21
43,0.021550527328611846,23
44,0.01939547459575075,19
45,0.01745592713617561,19
46,0.01571033442255798,23
47,0.014139300980302139,22
48,0.01272537088227188,21
49,0.011452833794044714,29
50,0.010307550414640154,19
51,0.00927679537317605,19
52,0.0083491158358584,21
53,0.0075142042522724495,19
54,0.0067627838270452045,19
55,0.00608650544434064,25
56,0.005477854899906598,19
57,0.004930069409915916,23
58,0.00443706246892428,19
59,0.003993356222031785,21
60,0.0035940205998286068,19
61,0.003234618539845746,19
62,0.0029111566858612825,20
63,0.0026200410172751987,19
64,0.00235803691554759,19
65,0.002122233223992742,19
66,0.0019100099015934013,19
67,0.0017190089114340612,19
68,0.0015471080202906773,19
69,0.0013923972182616762,23
70,0.0012531574964356196,19
71,0.0011278417467921464,19
72,0.001015057572112843,23
73,0.0009135518149014921,21
74,0.0008221966334114317,21
75,0.0007399769700702219,29
76,0.0006659792730632219,21
77,0.0005993813457569885,19
78,0.0005394432111813785,20
79,0.00048549889006332947,19
80,0.0004369490010569521,19
81,0.0003932541009512569,23
82,0.0003539286908560424,19
83,0.0003185358217705492,21
84,0.00028668223959349426,23
85,0.0002580140156340782,21
86,0.00023221261407058158,19
87,0.00020899135266350122,21
88,0.0001880922173971289,19
89,0.0001692829956574382,21
90,0.000152354696091761,22
91,0.00013711922648251829,19
92,0.00012340730383431087,23
93,0.00011106657345094639,21
94,9.995991610578514e-05,19
95,8.996392449511781e-05,21
